timestamp,position_m,x_gps,y_gps,epaisseur_mm,corrosion_pct,signal_us_db,confiance_pct,temp_eau_c,pression_bar,vitesse_cmps,frame_id,delta_epaisseur_mm,perte_pct,z_score_epaisseur,anomalie,gravite,recommandation
2024-10-14 08:30:00,0.0,2.589414,51.034568,8.55,0.0,75.5,99.0,12.5,3.27,4.8,FRM-0001,0.05,-0.6,0.51,0,OK,Aucune action requise
2024-10-14 08:30:08,4.1,2.589428,51.034573,8.34,3.2,74.0,97.6,12.2,3.15,5.2,FRM-0002,-0.16,1.9,0.29,0,OK,Aucune action requise
2024-10-14 08:30:16,8.2,2.589448,51.034586,8.61,0.0,75.0,95.2,12.5,3.08,5.2,FRM-0003,0.11,-1.3,0.58,0,OK,Aucune action requise
2024-10-14 08:30:24,12.3,2.589466,51.034594,8.64,0.0,73.9,93.4,11.9,3.28,4.9,FRM-0004,0.14,-1.6,0.61,0,OK,Aucune action requise
2024-10-14 08:30:32,16.4,2.589486,51.034603,8.21,2.2,74.7,97.4,12.3,3.33,5.3,FRM-0005,-0.29,3.4,0.15,0,OK,Aucune action requise
2024-10-14 08:30:40,20.5,2.589505,51.034615,8.3,0.3,74.7,97.0,12.4,3.18,5.0,FRM-0006,-0.2,2.4,0.25,0,OK,Aucune action requise
2024-10-14 08:30:48,24.6,2.589521,51.034625,8.52,0.0,78.1,98.9,12.4,3.1,5.1,FRM-0007,0.02,-0.2,0.48,0,OK,Aucune action requise
2024-10-14 08:30:56,28.6,2.589543,51.034635,8.45,0.5,77.2,99.0,12.6,3.18,5.3,FRM-0008,-0.05,0.6,0.41,0,OK,Aucune action requise
2024-10-14 08:31:04,32.7,2.58956,51.034644,8.5,2.1,74.8,97.6,12.5,3.19,4.9,FRM-0009,0.0,0.0,0.46,0,OK,Aucune action requise
2024-10-14 08:31:12,36.8,2.589575,51.03465,8.37,1.7,73.3,99.0,12.6,3.19,5.2,FRM-0010,-0.13,1.5,0.32,0,OK,Aucune action requise
2024-10-14 08:31:20,40.9,2.589593,51.03466,8.63,0.0,73.3,98.5,12.2,3.14,4.9,FRM-0011,0.13,-1.5,0.6,0,OK,Aucune action requise
2024-10-14 08:31:28,45.0,2.589615,51.03467,8.62,0.0,76.8,99.0,12.7,3.23,5.2,FRM-0012,0.12,-1.4,0.59,0,OK,Aucune action requise
2024-10-14 08:31:36,49.1,2.589633,51.034678,8.51,0.0,75.4,96.6,12.9,3.23,5.1,FRM-0013,0.01,-0.1,0.47,0,OK,Aucune action requise
2024-10-14 08:31:44,53.2,2.589652,51.034687,8.67,0.0,75.7,97.6,12.1,3.13,4.8,FRM-0014,0.17,-2.0,0.64,0,OK,Aucune action requise
2024-10-14 08:31:52,57.3,2.589671,51.034698,8.57,0.0,72.4,98.4,12.1,3.23,4.9,FRM-0015,0.07,-0.8,0.54,0,OK,Aucune action requise
2024-10-14 08:32:00,61.4,2.58969,51.034706,8.37,4.1,75.0,98.4,12.8,3.3,4.9,FRM-0016,-0.13,1.5,0.32,0,OK,Aucune action requise
2024-10-14 08:32:08,65.5,2.58971,51.034713,8.56,0.0,75.7,97.2,12.3,3.21,4.7,FRM-0017,0.06,-0.7,0.52,0,OK,Aucune action requise
2024-10-14 08:32:16,69.6,2.589724,51.034723,8.36,2.7,72.4,98.2,12.8,3.18,4.7,FRM-0018,-0.14,1.6,0.31,0,OK,Aucune action requise
2024-10-14 08:32:24,73.7,2.589742,51.034735,8.63,0.0,74.3,97.5,12.3,3.19,4.9,FRM-0019,0.13,-1.5,0.6,0,OK,Aucune action requise
2024-10-14 08:32:32,77.8,2.589761,51.034743,8.49,1.2,75.0,97.4,12.8,3.23,4.7,FRM-0020,-0.01,0.1,0.45,0,OK,Aucune action requise
2024-10-14 08:32:40,81.8,2.589782,51.034753,8.47,0.8,74.8,99.0,12.4,3.11,4.8,FRM-0021,-0.03,0.4,0.43,0,OK,Aucune action requise
2024-10-14 08:32:48,85.9,2.589803,51.034762,8.4,1.0,74.2,93.7,12.5,3.21,5.1,FRM-0022,-0.1,1.2,0.36,0,OK,Aucune action requise
